,index,Unnamed: 0,claim,origin,URL,truth_value,stated_on,topic
0,774,774,"Says that ""In 2009, I saved ratepayers around $500 million by persuading the Council to pursue a less expensive compliance mechanism if the City is required to treat Bull Run drinking water.""",Josh Mandel,https://www.politifact.com/factchecks/2011/oct/11/amanda-fritz/did-amanda-fritz-persuade-portland-city-council-sa/,mostly-true,"October 3, 2011",environment
1,2655,2655,“Fish tank additive may treat coronavirus.”,John Cornyn,https://www.politifact.com/factchecks/2020/mar/24/blog-posting/drinking-chloroquine-fish-tank-cleaner-wont-stop-c/,false,"March 20, 2020",coronavirus
2,4511,4511,"""122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield.""",Donald Trump,https://www.politifact.com/factchecks/2017/mar/07/donald-trump/donald-trump-wrongly-blames-barack-obama-former-gu/,barely-true,"March 7, 2017",terrorism
3,179,179,"More money is dedicated within the Department of Homeland Security to climate change than what's spent combating ""Islamist terrorists radicalizing over the Internet in the United States of America.""",Hillary Clinton,https://www.politifact.com/factchecks/2015/may/14/michael-mccaul/does-homeland-security-put-climate-change-above-on/,mostly-true,"May 10, 2015",climate-change
4,3120,3120,"“Smartmatic and Dominion systems ... were built to do this very thing, for changing the results of elections.”",Ron Johnson,https://www.politifact.com/factchecks/2020/nov/19/sidney-powell/trump-lawyer-falsely-claims-voting-technology-comp/,pants-fire,"November 16, 2020",elections
5,326,326,"""Plankton in the Atlantic Ocean is 90% gone.""",Facebook posts,https://www.politifact.com/factchecks/2022/jul/27/instagram-posts/no-90-plankton-atlantic-ocean-did-not-die/,false,"July 21, 2022",environment
6,3881,3881,"More than any Republican governor in the 2014 elections, ""I took a higher percentage of the Republican vote""and ""yet I also carried independents by 12 points.""",National Republican Senatorial Committee,https://www.politifact.com/factchecks/2015/mar/04/scott-walker/2016-horizon-scott-walker-asserts-his-appeal-among/,mostly-true,"February 26, 2015",elections
7,4703,4703,"""A few weeks ago Obama took Hamas and Iran OFF the terror list.""",Mark Pocan,https://www.politifact.com/factchecks/2015/mar/20/glenn-beck/glenn-beck-says-barack-obama-took-iran-hamas-us-te/,false,"March 19, 2015",terrorism
8,70,70,“The Green New Deal would require that 99% of homes in the country be torn down and rebuilt more ‘energy efficient’ over a ten year period.”,Facebook posts,https://www.politifact.com/factchecks/2020/nov/01/instagram-posts/green-new-deal-would-not-require-99-homes-be-torn-/,false,"October 28, 2020",climate-change
9,3838,3838,"""Twenty-six men named William have been elected to statewide office and only seven women have had the honor.""",Hillary Clinton,https://www.politifact.com/factchecks/2015/sep/28/ruths-list-florida/men-named-william-outnumber-women-florida-politics/,mostly-true,"September 22, 2015",elections
